Age,Salary,Purchased
22,20000,0
25,25000,0
47,50000,1
52,60000,1
46,55000,1
27,30000,0
30,32000,0
48,52000,1
50,58000,1
29,31000,0
23,21000,0
26,27000,0
28,29000,0
31,33000,0
33,35000,0
35,37000,0
36,39000,0
38,42000,1
40,45000,1
42,47000,1
44,49000,1
45,51000,1
49,53000,1
51,57000,1
53,62000,1
55,65000,1
24,23000,0
26,26000,0
28,28000,0
32,34000,0
34,36000,0
37,40000,1
39,43000,1
41,46000,1
43,48000,1
47,54000,1
48,56000,1
50,59000,1
52,61000,1
54,64000,1
21,19000,0
23,22000,0
25,24000,0
27,27000,0
29,30000,0
31,32000,0
33,34000,0
35,36000,0
37,41000,1
39,44000,1
